GW_CSA_AAA,Усиленный патруль безопасности
TEXT_ARMORED_INTERCEPTOR_SQUADRON_HALF,Эскадрилья бронированных TIE-перехватчиков 1/2
TEXT_ARMORED_INTERCEPTOR2_SQUADRON,Эскадрилья бронированных TIE-перехватчиков x2
TEXT_B_WING_SQUADRON,Эскадрилья B-крыла
TEXT_B_WING_SQUADRON_HALF,Эскадрилья B-крыла 1/2
TEXT_B_WING_SQUADRON2,Эскадрилья B-крыла x2
TEXT_B_WINGE_SQUADRON,Эскадрилья B/E
TEXT_B_WINGE_SQUADRON_HALF,Эскадрилья B/E 1/2
TEXT_B_WINGE_SQUADRON2,Эскадрилья B/E x2
TEXT_BAKURAN_GPA_SQUADRON,Эскадрилья ударных истребителей общего назначения
TEXT_BAKURAN_GPA_SQUADRON_HALF,Штурмовая истребительная эскадрилья общего назначения 1/2
TEXT_BAKURAN_GPA_SQUADRON2,Штурмовая истребительная эскадрилья общего назначения x2
TEXT_BTLA4_Y_WING_SQUADRON,БТЛ-А4 Эскадрилья Y-крыла
TEXT_BTLA4_Y_WING_SQUADRON_HALF,БТЛ-А4 Эскадрилья Y-крыла 1/2
TEXT_BTLA4_Y_WING_SQUADRON2,БТЛ-А4 Эскадрилья Y-крыла x2
TEXT_BUTTON_CUSTOM_CAMPAIGN,Режимы игры
TEXT_BUTTON_SINGLE_PLAYER_GAMES,Игровые режимы и офлайн-схватка
TEXT_CAMPAIGN_DESCRIPTION_INSTANTACTION,Мгновенно создавайте и сражайтесь с большими флотами любого размера и для любых фракций. \n-----\nИгровые фракции: \n\n- Новая Республика\n\n- Галактическая Империя\n\n- Картели хаттов\n\n- Власть Эриаду\n\n- Большой Малдруд\n\n- Пентазвездное выравнивание\n\n- Империя Зинджа\n\n- Корпоративный сектор\n\n- Консорциум Хейпса\n\n- Империя Руки
TEXT_CAMPAIGN_DESCRIPTION_SURVIVAL,Посмотрите, как долго вы сможете продержаться, отбиваясь от все более сильных волн противника. \n-----\nИгровые фракции: \n\n- Новая Республика\n\n- Галактическая Империя\n\n- Картели хаттов\n\n- Власть Эриаду\n\n- Большой Малдруд\n\n- Пентазвездное выравнивание\n\n- Империя Зинджа\n\n- Корпоративный сектор\n\n- Консорциум Хейпса\n\n- Империя Руки
TEXT_CAMPAIGN_DIVIDER_DESCRIPTION_GAMEMODES,Дополнительные игровые режимы доступны ниже
TEXT_CAMPAIGN_DIVIDER_HEADER_GAMEMODES,==== РЕЖИМЫ ИГРЫ ====================================
TEXT_CAMPAIGN_DIVIDER_PROGRESSIVE,Карты прогрессивной эпохи представляют большую часть территории, периода времени и фракций мода. По прошествии времени начнутся события, блокировки и разблокировки юнитов, а также исследования, отражающие обширную историю Галактики «Звездных войн».\n\n---\n\nНачальная эра может быть настроена так, чтобы изменить расположение планет на карте, а также территорию и силы каждой фракции. Особое внимание уделяется территориям, чтобы игровые фракции были примерно на равных условиях друг с другом.\n\n---\n\nПолные карты Галактики включают Неизвестные регионы и в целом немного больше планет. На картах известных галактик нет неизвестных регионов, но будет больше планет в известном космосе.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER,Прежде чем выполнять задачи по смене режима, имейте в виду, что развитие режима не обязательно для победы и не всегда благоприятно. Прежде чем продолжить, внимательно оцените последствия.
TEXT_CAMPAIGN_EVENT_ERAS_DISCLAIMER2,Внимание: вход в Темную Империю заблокирует вас в существующем режиме до конца игры.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE,В роли Галактической Империи у вас будет несколько вариантов режима, которые вы сможете выбрать в ходе игры в дополнение к тем, которые вы можете получить от интеграции других имперских фракций. Каждый режим включает в себя уникальный набор героев, а также небольшие изменения в вашем составе.
TEXT_CAMPAIGN_EVENT_ERAS_EMPIRE_FINAL,После этого момента больше не будет доступных имперских режимов.
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS,Режим Даалы устранит всех героев Алой Империи
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_LOSS_HERO,Следующие герои будут потеряны в режиме Даалы:
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_SSD,- ОБНОВЛЕНИЕ ИНТЕГРАЦИИ: Интегрированная власть Эриаду позволит обновить Горгону Даалы (ISD-I) до Рыцарского Молота (Исполнителя).
TEXT_CAMPAIGN_EVENT_PROGRESS_DAALA_VOLUNTARY,Если вы завершите вариант строительства, Карнор Джакс будет свергнут, и, чтобы спасти Империю от разобщенности, Натаси Даала примет на себя командование имперскими силами.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_CLONING_FACILITY,Если Палпатин умрет или Императорский центр клонирования будет разрушен, Темная Империя закончится, и ваша фракция автоматически перейдет к режиму Карнора Джакса.
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_HERO,Следующие герои исчезнут, когда Темная Империя закончится:
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_UNIT,Следующие юниты будут заблокированы после окончания Темной Империи:
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_LOSS_UNIT_LIST,- Затмение, Суверен, Пробот-охотник-убийца, Штурмовик CompForce, Темный штурмовик, Элита Темной стороны, Крисалида, Эскадрилья Темной стороны
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_OUTSIDE,Если Палпатин будет убит или Императорский центр клонирования будет уничтожен, Темной Империи придет конец. Карнор Джакс и его Совет присоединятся к вашей фракции, которая получит название «Галактическая Империя».
TEXT_CAMPAIGN_EVENT_PROGRESS_JAX_VOLUNTARY,Если вы выполните вариант сборки для поддержки Карнора Джакса, Темная Империя Палпатина закончится, и на смену ей придет Багровая Империя Джакса с его уникальным набором героев.
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS,При переходе в следующий режим будут потеряны:
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_DAALA,Если Даала умрет до завершения этого варианта сборки, она не будет у вас в режиме Пеллеона!
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_LOSS_HERO,Следующие герои будут потеряны в режиме Пеллеона:
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD,- ОБНОВЛЕНИЕ ИНТЕГРАЦИИ: Интегрированное выравнивание Pentastar позволит обновить «Химеру Пеллеона» (ISD-II) до «Жнеца» (Исполнителя).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD2,- АЛЬТЕРНАТИВНОЕ ОБНОВЛЕНИЕ: обновите «Химеру Пеллеона» (ISD-II) до «Мегадора» (Mandator-III).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_SSD3,- УЛУЧШЕНИЕ ПРОГРЕССИИ РЕЖИМА: обновите Агонизатор Рогрисса (ISD-I) до Доминиона (Bellator).
TEXT_CAMPAIGN_EVENT_PROGRESS_PELLAEON_VOLUNTARY,Если вы выберете вариант сборки, Пеллеон неохотно примет командование имперскими силами со своим уникальным списком героев, включая Натаси Даалу (Венатор).
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_CIUTRIC_HEGEMONY,- Сьютрикская Гегемония возьмет под свой контроль следующие планеты, если их будет контролировать Галактическая Империя. [ Сьютрик IV, Вросинри VIII, Корвис Малый IV ]
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_FAILURE,Если Траун убит:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_HERO_LOSS,Следующие герои будут потеряны после возвращения гранд-адмирала Трауна в зависимости от вашего текущего режима:
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_NO_REGIME,Никакие другие режимы не будут доступны, кроме тех, которые получены в результате интеграции имперской фракции.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS,РАЗБЛОКИРУЕТ: Абордажный шаттл, а также: AT-PT и бета-версию ETR-3, если они были ранее заблокированы.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_UNITS_LOSS,ЗАМКИ: Звездный дредноут «Палач», а также: PX-10, гусеничный нейтронный факел и боевой корабль Ye-4, если они были разблокированы ранее.
TEXT_CAMPAIGN_EVENT_PROGRESS_THRAWN_VOLUNTARY,Завершение варианта построения прогресса режима заменит текущий режим Трауном и его уникальным набором героев.
TEXT_CAMPAIGN_EVENTLOG_NIGHTHAMMER_AVAILABLE,Теперь можно построить Ночной Молот.
TEXT_CAMPAIGN_EVENTLOG_REGIMECHANGE,Смена имперского режима
TEXT_CAMPAIGN_EVENTLOG_ZEROCOMMANDEMERGE,Нулевое командование возникло, если Калист VI находился под контролем Галактической Империи.
TEXT_CAMPAIGN_MALDROOD_HINT_ONE,Bellator может быть построен только в Куате и Фондоре.
TEXT_CAMPAIGN_MALDROOD_HINT_ZSINJ,Если вы будете контролировать Куат, когда Зиндж умрет, Рогрисс вернет его Галактической Империи.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION,Проникнуть в партию оружия
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_COMPLETE,Зевулон Вирс: Мы прибыли на Бисс. Пришло время нанести удар!
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DESCRIPTION,Приведите Лэндо Калриссиана или Веджа Антиллеса в Балморру, чтобы спрятать ударный отряд в поставке оружия в Бисс.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_DIALOG,Мон Мотма: Губернатор Балморры Белтейн предоставил нам ценную информацию — маршрут транспорта, полного балморранских военных машин, направлявшегося в Бисс. Генералы Антиллес и Калриссиан предложили нам переправить ударную группу на этот транспорт и начать внезапную атаку в самом сердце Империи.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_LOST,Мон Мотма: Сегодня чёрный день для всех народов галактики. Давайте вспомним храбрых солдат, которые заплатили самую высокую цену за небольшой шанс нанести Империи великий удар. Мы должны продолжать сражаться, чтобы их жертва не была напрасной.
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_SET_OUT,Зевулон Вирс: Прятаться в этих боевых дроидах не совсем удобно, но мы обязательно проскользнем мимо имперских инспекций. Это будет долгая поездка...
TEXT_CAMPAIGN_OBJECTIVE_BALMORRA_MISSION_WON,Зевулон Вирс: Мы сделали это! Империя изгнана из Бисса! Я не могу в это поверить!
TEXT_CAMPAIGN_OBJECTIVE_CONQUER_CORUSCANT,Завоевать Корусант
TEXT_CAMPAIGN_OBJECTIVE_FIND_TANTISS,Найдите гору Тантисс.
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE,Новый ученик
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE_DESC1,- Победите Люка Скайуокера, чтобы поймать его для Императора и склонить на Темную сторону.
TEXT_CAMPAIGN_OBJECTIVE_NEW_APPRENTICE_DESC2,- Путешествие Скайуокера на Темную сторону станет необратимым только после победы над Леей. Если Император или Темный Люк будут побеждены при жизни Леи, Люк вернется к свету.
TEXT_CAMPAIGN_OBJECTIVE_RAID_NKLLON,Рейд Нкллон
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE,Верните Люка к Свету
TEXT_CAMPAIGN_OBJECTIVE_SAVE_LUKE_DESCRIPTION,Сохраните Лее жизнь и победите Люка Скайуокера, чтобы убедить его вернуться к свету.
TEXT_CAMPAIGN_OBJECTIVE_SECURE_HOFFNER,Следовать за заброшенными объектами
TEXT_CAMPAIGN_SINGLE_EVENT_NIGHTHAMMER_TIMER,Ночной Молот (Палач) присоединится к вашим силам через 12 циклов.
TEXT_CAMPAIGN_SINGLE_FIP_GUARDIAN,Адмирал Акбар может принять командование «Стражем» (звездным дредноутом класса «Палач») на верфях Билбринджи. (В этом сценарии «Дом Один» и «Галактический Вояджер» недоступны.)
TEXT_CAMPAIGN_SINGLE_FIP_MEGADOR,Адмирал Пеллеон может принять командование «Мегадором» (звездным дредноутом класса «Мандатор III») на верфях Билбринги.
TEXT_CAMPAIGN_SINGLE_ORINDA_ADUMAR,Система Адумар откроется в конце 7-го цикла.
TEXT_CAMPAIGN_SINGLE_ORINDA_LUSANKYA,Ведж Антиллес под командованием «Лусанкии» (звездного дредноута класса «Палач») прибудет в Билбринги в конце четвертого цикла.
TEXT_CAMPAIGN_SINGLE_ORINDA_MEGADOR_DOMINION,Как только Империя захватит Оринду, Терен Рогрисс, командующий Доминионом (Звездный дредноут класса Bellator), прибудет на Ягу Минор, а Мегадор (Звездный дредноут класса Мандатор III) прибудет на Агамар.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES,Если Император Палпатин умрет или Императорский центр клонирования будет разрушен, Люк Скайуокер, Седрисс или Карнор Джакс возьмут на себя командование Галактической Империей. Также отпадут следующие планеты, если они будут принадлежать Галактической Империи:
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_1,- Кампе присоединится к власти Эриаду.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_2,- Центарес, Металорн, Баламак и Хакасси присоединятся к Большому Малдруду.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_3,- Энтралла, Орд Траси, Гарки и Бороск присоединятся к Союзу Пентазвезд.
TEXT_CAMPAIGN_SINGLE_SHADOW_HAND_EMPIRE_FRACTURES_4,- Калист VI и Томорк присоединятся к Зеро Командованию.
TEXT_CAMPAIGN_SINGLE_ZSINJ_CSA_EMERGE_EMPIRE_04,Этти IV, Эссион и Бонадан покинут Империю Зинджа, если Зиндж умрет.
TEXT_CAMPAIGN_TC_NKLLON_INSTRUCTIONS,Завоевать Нкллон, чтобы собрать горнодобывающее оборудование для абордажных операций.
TEXT_CAMPAIGN_TC_OBROA_INSTRUCTIONS,Завоюйте Оброа-скай, чтобы открыть Вейланд и хранилище технологий на горе Тантисс.
TEXT_CAMPAIGN_TC_PANTOLOMIN_INSTRUCTIONS,Покорите Пантоломина, чтобы открыть Deep Space.
TEXT_CLUTCH_SQUADRON,Эскадрилья сцепления
TEXT_CLUTCH_SQUADRON_HALF,Эскадрилья сцепления 1/2
TEXT_CLUTCH_SQUADRON2,Эскадрилья сцепления x2
TEXT_COMMAND_HAMMER32,Репульсорный танк S-1 FireHawke, Молот 3:2
TEXT_COMPANY_ADC,Коллектив защиты власти
TEXT_COMPANY_ADC_DESCRIPTION,Продукция из коллекции небольших компаний CSA: Etti Lighter, GX12 Hovervan и X10 Groundcruiser.
TEXT_COMPANY_ALIGNMENT_CAPITAL,Палата порядка
TEXT_COMPANY_ARAKYD,Аракид Индастриз
TEXT_COMPANY_ARAKYD_DESCRIPTION,Все продукты Arakyd: дроид-танк XR-85, пробобот-охотник-убийца и варианты дроида-разведчика.
TEXT_COMPANY_ARATECH_DESCRIPTION,Вся продукция Aratech: 74-Z Speeder Bike Scout, 64-Y Swift 3 Repulsor Snail и платформа поддержки пехоты.
TEXT_COMPANY_BAKTOID,Бактоидные промышленные системы
