TEXT_2_WARPOD_SQUADRON,#2 Эскадрилья боевых капсул
TEXT_COMPANY_BESPIN_MOTORS,Беспин Моторс
TEXT_COMPANY_BESPIN_MOTORS_DESCRIPTION,Вся продукция Bespin Motors: Автомобиль Storm Cloud.
TEXT_COMPANY_CEC,Кореллианская инженерная корпорация
TEXT_COMPANY_DAMORIAN,Даморианская производственная корпорация
TEXT_COMPANY_GARRISON_ARATECH,74-Z Speeder Bike Scout: 2 / 2
TEXT_COMPANY_GARRISON_BALMORRAN_ARMS,Пехотный дроид SD-6 Халк: 2 / 2
TEXT_COMPANY_GARRISON_BESPIN_MOTORS,Автомобиль грозового облака: 1 / 1
TEXT_COMPANY_GARRISON_CEC,Местный военный отряд: 1 / 1
TEXT_COMPANY_GARRISON_DAMORIAN,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_GUARJA,Отряд Наемников: 1 / 1
TEXT_COMPANY_GARRISON_INCOM,Отряд карабинеров полицейских силовиков: 1 / 1
TEXT_COMPANY_GARRISON_JEDI_TEMPLE1,Отряд охранников храма: 2 / 2
TEXT_COMPANY_GARRISON_JEDI_TEMPLE2,Джедай-страж: 1 / 1
TEXT_COMPANY_GARRISON_JEDI_TEMPLE3,Джедай-консул: 1 / 1
TEXT_COMPANY_GARRISON_KDY,AT-PT Walker: 2 / 2
TEXT_COMPANY_GARRISON_MANDAL_MOTORS,Отряд мандалорских солдат: 2 / 2
TEXT_COMPANY_GARRISON_MEKUUN,Отряд карабинеров полицейских силовиков: 1 / 1
TEXT_COMPANY_GARRISON_RENDILI,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_SIENAR,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_SOROSUUB,Салластанское местное ополчение: 1 / 1
TEXT_COMPANY_GARRISON_TAIM_BAK,Отряд сотрудников корпоративной безопасности: 1 / 1
TEXT_COMPANY_GARRISON_UBRIKKIAN,Отряд Наемников: 1 / 1
TEXT_COMPANY_GARRISON_UULSHOS,Противопехотный отряд солдат Сил обороны: 1 / 1
TEXT_COMPANY_GUARJA,Верфи Гуарджи
TEXT_COMPANY_HOERSCH_KESSEL,Хёрш-Кессель Драйв, Инк.
TEXT_COMPANY_INCOM,Корпорация Инком
TEXT_COMPANY_MANDAL_MOTORS,МандалМоторс
TEXT_COMPANY_MEKUUN,Корпорация Мекуун
TEXT_COMPANY_TAIM_BAK,Время и Назад
TEXT_COMPANY_TELGORN,Телгорн Корпорация
TEXT_COMPANY_TRANSGALMEG,ТрансГалМег Индастриз
TEXT_COMPANY_UBRIKKIAN,Убриккиан Индастриз
TEXT_COMPANY_UULSHOS,Уулшос Производство
TEXT_CONQUEST_GOVERNMENT_HUTTS_GANIS_NAL_AVAILABLE,
TEXT_CONQUEST_GOVERNMENT_HUTTS_HUTT_BOARDING_SHUTTLE_AVAILABLE,
TEXT_CONQUEST_GOVERNMENT_HUTTS_RIBOGA_AVAILABLE,
TEXT_CONQUEST_GOVERNMENT_HUTTS_TAGOONTA_AVAILABLE,
TEXT_CONQUEST_GOVERNMENT_HUTTS_TOBBA_YTOBBA_AVAILABLE,
TEXT_CONQUEST_GOVERNMENT_HUTTS_ULAL_AVAILABLE,
TEXT_DISPLAY_SECONDARY_GOLAN_ONE,Вторичная защита: станция Голаны-I
TEXT_DISPLAY_SECONDARY_GOLAN_TWO,Вторичная защита: станция Голаны-II
TEXT_DISPLAY_SECONDARY_VALOR,Вторичная защита: Станция доблести
TEXT_DOCUMENTATION_BODY_GTS_1,| 250 | - Планетарная сверхскоростная пушка
TEXT_DOCUMENTATION_BODY_GTS_2,| 1500 | - Планетарная ионная пушка
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_GEONOSIS,Джеонозис: Нантекс, Коливекс при влиянии 9+.
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_MANDALORIAN_WORLDS,Мандалорские миры: Конкорд-Доун, Мандалор, Ордо, Ворпая, Занбар.
TEXT_DOCUMENTATION_BODY_INFLUENCE_FIGHTERS_UMBARA,Умбара: Зенуас 33
TEXT_DOCUMENTATION_BODY_MISSION_RESEARCH_TEMPEST,Исследование: Крейсер Бури.
TEXT_DUNELIZARD_FIGHTER_SQUADRON,Истребительная эскадрилья «Дюнелизард»
TEXT_DUNELIZARD_FIGHTER_SQUADRON_HALF,Истребительная эскадрилья «Дюнелизард» 1/2
TEXT_DUNELIZARD_FIGHTER_SQUADRON2,Истребительная эскадрилья «Дюнелизард» x2
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON,Эскадрилья перехватчиков «Дюнелизард»
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON_HALF,Эскадрилья перехватчиков «Дюнелизард» 1/2
TEXT_DUNELIZARD_INTERCEPTOR_SQUADRON2,Эскадрилья перехватчиков «Дюнелизард» x2
TEXT_DWARF_SPIDER_DROID_COMPANY,Компания карликовых дроидов-пауков
TEXT_DWARF_SPIDER_DROID_SQUAD,Отряд карликовых дроидов-пауков
TEXT_ECONOMY_BOSSATO,Боссато Хатт - Доход
TEXT_ECONOMY_VORRU,Флири Ворру - Доход
TEXT_EVENT_SSURUSSK_SELECTOR_BODY,Ссурусские рейдеры туманности
TEXT_G1_SQUADRON,Эскадрилья звездных истребителей G-1
TEXT_G1_SQUADRON_HALF,Эскадрилья звездных истребителей G-1 1/2
TEXT_G1_SQUADRON2,Эскадрилья звездных истребителей G-1 x2
TEXT_H_WING_SQUADRON,Эскадрилья H-крыла
TEXT_H_WING_SQUADRON_HALF,Эскадрилья H-крыла 1/2
TEXT_H_WING_SQUADRON2,Эскадрилья H-крыла x2
TEXT_HEADHUNTER_BOMBER_SQUADRON,Эскадрилья бомбардировщиков Z-95
TEXT_HEADHUNTER_BOMBER_SQUADRON_HALF,Эскадрилья бомбардировщиков Z-95 1/2
TEXT_HEADHUNTER_BOMBER_SQUADRON2,Эскадрилья бомбардировщиков Z-95 x2
TEXT_HEADHUNTER_ML_SQUADRON,Эскадрилья Z-95МЛ
TEXT_HEADHUNTER_ML_SQUADRON_HALF,Эскадрилья Z-95МЛ 1/2
TEXT_HEADHUNTER_ML_SQUADRON2,Эскадрилья Z-95ML x2
TEXT_HEADHUNTER_SQUADRON,Z-95 Эскадрилья охотников за головами
TEXT_HEADHUNTER_SQUADRON_HALF,Z-95 Эскадрилья охотников за головами 1/2
TEXT_HEADHUNTER_SQUADRON2,Z-95 «Охотники за головами» x2
TEXT_HEADHUNTER_SQUADRON3,Z-95 «Охотники за головами» x3
TEXT_HEADHUNTER_XT_SQUADRON,Эскадрилья Z-95XT
TEXT_HEADHUNTER_XT_SQUADRON_HALF,Эскадрилья Z-95XT 1/2
TEXT_HEADHUNTER_XT_SQUADRON2,Эскадрилья Z-95XT x2
TEXT_HERO_ARDELLA,Дорогая Арделла
TEXT_HERO_AYCEN,Бесплатно Айсен
TEXT_HERO_BOBA_FETT,Боба Фетт
TEXT_HERO_BORVO,Борво
TEXT_HERO_BOSSATO,Боссато
TEXT_HERO_BOSSK,босс
TEXT_HERO_BROADSIDE,Бродсайд
TEXT_HERO_CODY,Коди
TEXT_HERO_DENGAR,Слушать
TEXT_HERO_DENGAR_TEAM,Слушать
TEXT_HERO_DENN_WESSEX,Потому что Уэссекс
TEXT_HERO_DREDNAR,Дрек Дреднар
TEXT_HERO_FENN_SHYSA,Фенн Шиса
TEXT_HERO_GANIS,Ганис
TEXT_HERO_GARM_BEL_IBLIS,Дьявол Белл Гарм
TEXT_HERO_GEVTES,Когда Гевтес
TEXT_HERO_GRANT,Октавиан Грант
TEXT_HERO_GRUNGER,Йозеф Грюнгер
TEXT_HERO_HAUSER,Линч Хаузер
TEXT_HERO_HOLCHAS,Ап-Ланге Холчас
TEXT_HERO_JABBA,Джабба Десилиджик Тиуре
TEXT_HERO_JAN_DODONNA,Ян Додонна
TEXT_HERO_JAN_DODONNA_TEAM,Ян Додонна
TEXT_HERO_JONA_GRUMBY,Джона Грамби
TEXT_HERO_KAINE,Ардус Кейн
TEXT_HERO_KEEK,Посмотрел
TEXT_HERO_LABANSAT,Лабансат
TEXT_HERO_LOOSE_CANNON,Свободные пушечные пираты
TEXT_HERO_LORKA_GEDYC,Лорка Гедич
TEXT_HERO_MIKA,Мика Анжелиак Кьера
TEXT_HERO_MON_MOTHMA,Мон Мотма
TEXT_HERO_NIAL_DECLANN,Ниал Декланн
TEXT_HERO_PALPATINE,Палпатин
TEXT_HERO_PARELLA,Парелла Джирама Бахус
TEXT_HERO_PELLAEON,Гилад Пеллеон
TEXT_HERO_PESTAGE,Сейт Пестаж
TEXT_HERO_PLAKOT,Плакот Хатт
TEXT_HERO_POPARA,Попара Анхилиак Диресто
TEXT_HERO_PRAJI,Нахдоннис Праджи
TEXT_HERO_QUAFFUG,Кваффуг Хатт
TEXT_HERO_QUINCE,Квинтик Кар
TEXT_HERO_RANDOM_PIRATE,Ищите пиратов
TEXT_HERO_RANDOM_PIRATE_CORVETTE,
TEXT_HERO_RANDOM_PIRATE_FIGHTER,
TEXT_HERO_RANDOM_PIRATE_FLEET,
TEXT_HERO_RANDOM_PIRATE_LEGEND,
TEXT_HERO_RENTHAL,Дреа Рентал
TEXT_HERO_RESHUL,Решул
TEXT_HERO_RIBOGA,Рибо
TEXT_HERO_SHEA_HUBLIN,Ши Хаблин
TEXT_HERO_SLAGORTH,Слагорт
TEXT_HERO_SMEBBA_DUNK,Смебба Данк
TEXT_HERO_SSURUSSK,Ссурусск
TEXT_HERO_TAGOONTA,Тагунта
TEXT_HERO_TALLON,Адар Таллон
TEXT_HERO_TARGRIM,Большой, как Таргрим
TEXT_HERO_TARNTA_BANE,Тарнта Бэйн
TEXT_HERO_TERRINALD_SCREED,Терринальд Скрид
TEXT_HERO_THALASSIAN,Талассийская группа работорговцев
TEXT_HERO_THERBON,Тербон
TEXT_HERO_TOBBA,Врачи
TEXT_HERO_TRONOX,Тронокс
TEXT_HERO_TROONOL,Троонол
TEXT_HERO_ULAL,началось
TEXT_HERO_VANGAR,Вангар
TEXT_HERO_VEILED_QUEEN,Пиратская королева завуалированного женского общества
TEXT_HERO_VORRU,Разыскивается Флири
TEXT_HERO_VOSS_PARCK,Восс Парк
TEXT_HERO_VULTURE_PIRATES,Пираты-стервятники
TEXT_HERO_ZAN_DANE,я буду датчанином
TEXT_HERO_ZORBA,Зорба Десилиджик Тиуре
TEXT_I_BEAM_SQUADRON,Эскадрилья звездных истребителей I-BEAM
TEXT_I_BEAM_SQUADRON_HALF,I-BEAM Звездная истребительная эскадрилья 1/2
TEXT_I_BEAM_SQUADRON2,Эскадрилья звездных истребителей I-BEAM x2
TEXT_IMPERIAL_ATPT_SQUAD,Компания AT-PT Walker
TEXT_KIMOGILA_SQUADRON,M12-L Эскадрилья тяжелых истребителей Кимогила
TEXT_KIMOGILA_SQUADRON_HALF,M12-L Эскадрилья тяжелых истребителей Кимогила 1/2
TEXT_KIMOGILA_SQUADRON2,Эскадрилья тяжелых истребителей M12-L «Кимогила» x2
TEXT_MORNINGSTAR_A_SQUADRON,MorningStar-Эскадрилья звёздных истребителей
TEXT_MORNINGSTAR_A_SQUADRON_HALF,МорнингСтар-А Эскадрилья Звёздных Истребителей 1/2
TEXT_MORNINGSTAR_A_SQUADRON2,МорнингСтар-А Эскадрилья Звёздных Истребителей 2x
TEXT_MORNINGSTAR_B_SQUADRON,Эскадрилья звёздных истребителей «МорнингСтар-Б»
TEXT_MORNINGSTAR_B_SQUADRON_HALF,Эскадрилья звёздных истребителей «МорнингСтар-Б» 1/2
TEXT_MORNINGSTAR_B_SQUADRON2,Эскадрилья звездных истребителей «МорнингСтар-Б» 2x
TEXT_MORNINGSTAR_C_SQUADRON,Эскадрилья звёздных истребителей «МорнингСтар-С»
TEXT_MORNINGSTAR_C_SQUADRON_HALF,Эскадрилья звёздных истребителей «МорнингСтар-С» 1/2
TEXT_MORNINGSTAR_C_SQUADRON2,Эскадрилья звездных истребителей «МорнингСтар-С» 2x
TEXT_N1_SQUADRON,Эскадрилья звездных истребителей Н-1
TEXT_N1_SQUADRON_HALF,Эскадрилья звездных истребителей Н-1 1/2
TEXT_N1_SQUADRON2,Эскадрилья звездных истребителей Н-1 x2
TEXT_NANTEX_SQUADRON,Нантексская эскадрилья звёздных истребителей
TEXT_NANTEX_SQUADRON_HALF,Нантексская эскадрилья звёздных истребителей 1/2
TEXT_NANTEX_SQUADRON2,Нантексская эскадрилья звёздных истребителей x2
TEXT_PIRATE_BASE,База-убежище пиратов
TEXT_PLANET_INFO_BESPIN_INFLUENCE_REWARD,• Разблокирует автомобили Storm Cloud при уровне влияния 7+.
TEXT_PLANET_INFO_COLLA_INFLUENCE_REWARD,• Разблокирует дроидов-аннигиляторов Скорпенеков при 10 уровне влияния.
TEXT_PLANET_INFO_THYRSUS_INFLUENCE_REWARD,• Разблокирует Sun Guard при влиянии 7+.
TEXT_PLANET_INFO_UMBARA_INFLUENCE_REWARD,• Открывает умбаранские парящие танки при уровне влияния 7+.
TEXT_R22_SPEARHEAD_SQUADRON,Передовая эскадрилья Р-22
TEXT_R22_SPEARHEAD_SQUADRON_HALF,Передовая эскадрилья Р-22 1/2
TEXT_R22_SPEARHEAD_SQUADRON2,Передовая эскадрилья Р-22 2x
TEXT_R42_SQUADRON,Эскадрилья R-42 Starchaser
TEXT_R42_SQUADRON_HALF,Эскадрилья R-42 Starchaser x2
TEXT_R42_SQUADRON2,Эскадрилья R-42 Starchaser 1/2
TEXT_REBEL_TANK_BUSTER_SQUAD,Команда солдат-ракетчиков
TEXT_SCURRG_H6,Скаррг H-6
TEXT_SCURRG_H6_PROTOTYPE,Прототип Скаррга H-6
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON,Прототипная эскадрилья Scurrg H-6
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON_HALF,Прототипная эскадрилья Scurrg H-6 1/2
TEXT_SCURRG_H6_PROTOTYPE_SQUADRON2,Прототипная эскадрилья Scurrg H-6 x2
TEXT_SCURRG_H6_SQUADRON,Эскадрилья Скаррг H-6
TEXT_SCURRG_H6_SQUADRON_HALF,Эскадрилья Скаррг H-6 1/2
TEXT_SCURRG_H6_SQUADRON2,Эскадрилья Скаррг H-6 x2
TEXT_SCYK_FIGHTER_SQUADRON,Истребительная эскадрилья M3-A Scyk
TEXT_SCYK_FIGHTER_SQUADRON_HALF,Истребительная эскадрилья M3-A Scyk 1/2
TEXT_SCYK_FIGHTER_SQUADRON2,Истребительная эскадрилья M3-A Scyk x2
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON,Эскадрилья тяжелых истребителей M3-A Scyk
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON_HALF,Эскадрилья тяжелых истребителей M3-A Scyk 1/2
TEXT_SCYK_HEAVY_FIGHTER_SQUADRON2,Эскадрилья тяжелых истребителей M3-A Scyk x2
TEXT_SPEECH_TEMPEST_RESEARCH_FINISHED,Исследование Темпеста завершено.
TEXT_STARCHASER_SQUADRON,Эскадрилья R-41 Starchaser
TEXT_STARCHASER_SQUADRON_HALF,Эскадрилья R-41 Starchaser 1/2
TEXT_STARCHASER_SQUADRON2,Эскадрилья R-41 Starchaser x2
TEXT_STATBLOCK_AGGRESSORFIGHTER_BASE,Здоровье: 22 | Щиты: 10
TEXT_STATBLOCK_AGGRESSORFIGHTER_MOVE,Скорость: 7,6 | Маневренность: 5,28
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON,Эскадрилья: 12 штурмовых истребителей «Агрессор»
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_DOUBLE,Эскадрилья: 24 штурмовых истребителя «Агрессор»
TEXT_STATBLOCK_AGGRESSORFIGHTER_SQUADRON_HALF,Эскадрилья: 6 штурмовых истребителей «Агрессор»
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP1,1 лазерная пушка тяжелого истребителя: 4/2,0 с/1,0 км
TEXT_STATBLOCK_AGGRESSORFIGHTER_WEAP2,1 истребительная ионная пушка: 4/3,0 с/1,0 км
TEXT_STATBLOCK_ARC170_BASE,Здоровье: 18 | Щиты: 12
TEXT_STATBLOCK_ARC170_ESCORT_BASE,Здоровье: 90 | Щиты: 75
TEXT_STATBLOCK_ARC170_MOVE,Скорость: 5,9 | Маневренность: 3,25
TEXT_STATBLOCK_ARC170_SQUADRON,Эскадрилья: 12 АРК-170.
TEXT_STATBLOCK_ARC170_SQUADRON_DOUBLE,Эскадрилья: 24x ARC-170
TEXT_STATBLOCK_ARC170_SQUADRON_HALF,Эскадрилья: 6x ARC-170
TEXT_STATBLOCK_ARC170_WEAP1,1 лазерная пушка тяжелого истребителя: 4/2,0 с/1,1 км
TEXT_STATBLOCK_ARC170_WEAP2,1 кормовая лазерная пушка истребителя: 2 / 2,0 с / 1,0 км
TEXT_STATBLOCK_ARC170_WEAP3,1 истребительная ударная ракета : 1/37,5 с/1,8 км
TEXT_STATBLOCK_ARC170_WEAP4,1 истребительная протонная торпеда : 1/37,5 с/1,8 км
TEXT_STATBLOCK_ATL_INTERCEPTOR_BASE,Здоровье: 7 | Неэкранированный
TEXT_STATBLOCK_ATL_INTERCEPTOR_MOVE,Скорость: 6,5 | Маневренность: 5,1
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON,Эскадрилья: 12 перехватчиков ATL
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_DOUBLE,Эскадрилья: 24 перехватчика ATL
TEXT_STATBLOCK_ATL_INTERCEPTOR_SQUADRON_HALF,Эскадрилья: 6 перехватчиков ATL
TEXT_STATBLOCK_ATL_INTERCEPTOR_WEAP1,1 истребительная лазерная пушка: 4/2,0 с/1,0 км
TEXT_STATBLOCK_BTLB_YWING_SQUADRON,Эскадрилья: 12 БТЛ-Б Y-образного крыла.
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_DOUBLE,Эскадрилья: 24 БТЛ-Б Y-образного крыла.
TEXT_STATBLOCK_BTLB_YWING_SQUADRON_HALF,Эскадрилья: 6 БТЛ-Б Y-образного крыла.
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON,Эскадрилья: 12 БТЛ-С1 Y-образного крыла.
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_DOUBLE,Эскадрилья: 24 БТЛ-С1 Y-образного крыла.
TEXT_STATBLOCK_BTLS1_YWING_SQUADRON_HALF,Эскадрилья: 6x БТЛ-С1 Y-образного крыла.
TEXT_STATBLOCK_CLOAKSHAPE_BASE,Здоровье: 18 | Щиты: 4
TEXT_STATBLOCK_CLOAKSHAPE_CW_BASE,Здоровье: 18 | Неэкранированный
TEXT_STATBLOCK_CLOAKSHAPE_CW_MOVE,Скорость: 6,8 | Маневренность: 3,6
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP1,1 истребительная лазерная пушка: 4/2,0 с/1,0 км
TEXT_STATBLOCK_CLOAKSHAPE_CW_WEAP2,1 истребительная ударная ракета: 1/25,0 с/1,8 км
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON,Эскадрилья: 12 плащевых форм
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_DOUBLE,Эскадрилья: 24 формы плаща
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_HALF,Эскадрилья: 6 плащевых форм
TEXT_STATBLOCK_CLOAKSHAPE_SQUADRON_TRIPLE,Эскадрилья: 36 плащевых форм
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_BASE,Здоровье: 15 | Неэкранированный
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_MOVE,Скорость: 6,3 | Маневренность: 3,2
TEXT_STATBLOCK_CLOAKSHAPE_STOCK_WEAP1,1 истребительная лазерная пушка: 4/2,0 с/1,0 км
TEXT_STATBLOCK_CLOAKSHAPE_WEAP2,1 истребительная ударная ракета: 1/18,75 с/1,8 км
TEXT_STATBLOCK_CLONE_HERO_ARC170_BASE,Здоровье: 180  | Щиты: 150
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_BASE,Здоровье: 13 | Щиты: 3
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_MOVE,Скорость: 6,87 | Маневренность: 4,32
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON,Эскадрилья: 12 истребителей «Дюнелизард»
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON_DOUBLE,Эскадрилья: 24 истребителя «Дюнелизард»
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_SQUADRON_HALF,Эскадрилья: 6 истребителей «Дюнелизард»
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_WEAP1,1 пулемет-истребитель-истребитель: 4 / 2,0 с / 1,0 км
TEXT_STATBLOCK_DUNELIZARD_FIGHTER_WEAP2,1 истребительная протонная торпеда: 1/50,0 с/1,8 км
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_BASE,Здоровье: 12 | Щиты: 3
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_MOVE,Скорость: 6,87 | Маневренность: 4,32
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON,Эскадрилья: 12 перехватчиков Dunelizard
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON_DOUBLE,Эскадрилья: 24 перехватчика Dunelizard
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_SQUADRON_HALF,Эскадрилья: 6 перехватчиков Dunelizard
TEXT_STATBLOCK_DUNELIZARD_INTERCEPTOR_WEAP1,1 истребительная лазерная пушка: 4/2,0 с/1,0 км
TEXT_STATBLOCK_G1_BASE,Здоровье: 11 | Щиты: 6
TEXT_STATBLOCK_G1_SQUADRON,Эскадрилья: 12 истребителей G-1.
TEXT_STATBLOCK_G1_SQUADRON_DOUBLE,Эскадрилья: 24 истребителя G-1.
TEXT_STATBLOCK_G1_SQUADRON_HALF,Эскадрилья: 6 звездных истребителей G-1.
TEXT_STATBLOCK_G1_WEAP1,1 лазерная пушка тяжелого истребителя: 4/2,0 с/1,0 км
TEXT_STATBLOCK_H_WING_BASE,Здоровье: 25 | Щиты: 13
TEXT_STATBLOCK_H_WING_MOVE,Скорость: 6,5 | Маневренность: 2,95
TEXT_STATBLOCK_H_WING_SQUADRON,Эскадрилья: 12 H-крылов.
TEXT_STATBLOCK_H_WING_SQUADRON_DOUBLE,Эскадрилья: 24 H-крыла
TEXT_STATBLOCK_H_WING_SQUADRON_HALF,Эскадрилья: 6 H-крылов
TEXT_STATBLOCK_H_WING_WEAP1,1 лазерная пушка тяжелого истребителя: 2/2,0 с/1,0 км
TEXT_STATBLOCK_H_WING_WEAP2,1 истребительная ионная пушка: 4/3,0 с/1,0 км
TEXT_STATBLOCK_H_WING_WEAP3,1 ракета «Протон» : 1/15,0 с/3,0 км
TEXT_STATBLOCK_H_WING_WEAP4,1 сотрясающая бомба : 1/15,0 с/0,8 км
TEXT_STATBLOCK_I_BEAM_BASE,Здоровье: 17 | Неэкранированный
TEXT_STATBLOCK_I_BEAM_MOVE,Скорость: 7,2 | Маневренность: 4,5
TEXT_STATBLOCK_I_BEAM_SQUADRON,Эскадрилья: 12 звездных истребителей I-BEAM.
TEXT_STATBLOCK_I_BEAM_SQUADRON_DOUBLE,Эскадрилья: 24 звездных истребителя I-BEAM.
TEXT_STATBLOCK_I_BEAM_SQUADRON_HALF,Эскадрилья: 6 звездных истребителей I-BEAM.
TEXT_STATBLOCK_I_BEAM_WEAP1,1 истребительная лазерная пушка: 4/3,0 с/1,0 км
TEXT_STATBLOCK_I_BEAM_WEAP2,1 истребительная лазерная пушка: 2/3,0 с/1,0 км
TEXT_STATBLOCK_KIMOGILA_BASE,Здоровье: 22 | Щиты: 8
TEXT_STATBLOCK_KIMOGILA_ESCORT_BASE,Здоровье: 130 | Щиты: 45
TEXT_STATBLOCK_KIMOGILA_MOVE,Скорость: 6,35 | Маневренность: 2,57
TEXT_STATBLOCK_KIMOGILA_SQUADRON,Эскадрилья: 12 тяжелых истребителей M12-L Kimogila.
TEXT_STATBLOCK_KIMOGILA_SQUADRON_DOUBLE,Эскадрилья: 24 тяжелых истребителя M12-L Kimogila.
TEXT_STATBLOCK_KIMOGILA_SQUADRON_HALF,Эскадрилья: 6 тяжелых истребителей M12-L Kimogila.
TEXT_STATBLOCK_KIMOGILA_WEAP1,1 лазерная пушка тяжелого истребителя: 4/2,0 с/1,0 км
TEXT_STATBLOCK_KIMOGILA_WEAP2,1 ракета «Протон» : 1/25,0 с/3,0 км
TEXT_STATBLOCK_KIMOGILA_WEAP3,1 сотрясающая бомба : 1/25,0 с/0,8 км
TEXT_STATBLOCK_KRAYT_GUNSHIP_BASE,Здоровье: 29 | Щиты: 13
